団体コード,総数,100歳以上
194301,26280,11
194409,1331,1
194425,737,1
194433,594,0
200000,2094757,1598
202011,378474,275
202029,237562,153
202037,155784,113
202045,50132,39
202053,101449,90
202061,49203,37
202070,50878,37
202088,42314,24
202096,67538,48
202100,32668,22
202118,44726,30
202126,28018,18
202134,21643,18
202142,55350,41
202151,66441,42
202177,98451,85
202185,60652,42
202193,30121,20
202207,96898,61
203009,25007,39
203033,4718,10
203041,3935,4
203050,3046,9
203068,1041,0
203076,775,1
203092,11492,15
203203,42428,24
203211,19856,13
203238,15143,3
203246,7429,8
203408,10788,12
203491,4492,7
203505,6296,5
203602,43049,35
203611,20476,9
203629,14735,14
203637,7838,12
203807,82431,68
203823,19705,21
203831,24353,17
203840,9502,12
203858,15004,10
203866,4970,1
203882,8897,7
204005,60979,62
204021,13448,8
204030,13149,7
204048,4779,11
204072,6498,12
204099,448,1
204102,966,0
204111,3818,5
204129,581,1
204137,1375,3
204145,1665,2
204153,6483,11
204161,6713,1
204170,1056,0
204200,28167,27
204226,4695,5
204234,4310,6
204251,2982,5
204293,794,0
204307,3844,3
204323,11542,8
204404,22756,28
204463,2851,15
204480,1861,2
204501,8665,2
204510,4626,1
204528,4753,8
204803,31502,24
204811,10073,9
204820,9818,9
204854,8655,3
204862,2956,3
205206,14908,18
205214,14908,18
205401,18236,18
205419,11056,9
205435,7180,9
205605,21363,17
205613,12860,9
205621,4867,5
205630,3636,3
205800,22847,27
205834,8717,12
205885,2631,6
205907,11499,9
206008,1994,4
206024,1994,4
210005,2019491,994
212016,404168,152
212024,157624,61
212032,89353,48
212041,111189,52
212059,88422,39
212067,79197,51
212075,20952,13
212083,37506,35
212091,67331,19
212105,51060,47
212113,51898,31
212121,57850,40
212130,145760,52
212148,95371,42
212156,27380,11
212164,52005,21
212172,25003,22
212181,34439,10
212199,42867,39
212202,33446,42
212211,35118,17
213004,46920,12
213021,24749,6
213039,22171,6
213403,29507,17
213411,29507,17
213608,34365,22
