団体コード,総数
453838,7538
454001,71994
454010,20861
454028,17723
454036,1206
454044,5342
454052,16054
454061,10808
454206,28947
454214,18399
454290,1830
454303,2940
454311,5778
454401,21008
454419,12754
454427,4178
454435,4076
460001,1660215
462012,604362
462039,104217
462047,21871
462063,21435
462080,54131
462101,41980
462136,15853
462144,15460
462152,96642
462161,49670
462179,37446
462187,126168
462195,28744
462209,35386
462217,32140
462225,44143
462233,36363
462241,26993
462250,76497
463001,1093
463035,375
463043,718
463809,22023
463922,22023
464007,10743
464040,10743
464406,9800
464520,9800
464601,13423
464686,13423
464805,38461
464821,6712
464902,7973
464911,7737
464929,16039
465003,26888
465011,8258
465020,5754
465054,12876
465208,68283
465232,1541
465241,1757
465259,9121
465275,6034
465291,7316
465305,11236
465313,6148
465321,6898
465330,6745
465348,6157
465356,5330
470007,1453208
472018,320064
472051,97043
472077,48943
472085,113421
472093,62204
472107,60457
472115,140208
472123,62669
472131,121794
472140,54083
472158,43069
473006,65074
473014,4906
473022,3149
473031,1829
473065,9566
473081,13377
473111,10373
473138,5912
473146,11358
473154,4604
473201,154348
473243,40877
473251,13639
473260,28519
473278,16500
473286,20095
473294,34718
473405,102751
473481,19123
473502,37880
473537,686
473545,925
473553,720
473561,383
473570,1247
473588,576
473596,1256
473600,1496
473618,8052
473626,30407
473707,1165
473758,1165
473804,5915
473812,4218
473821,1697
